#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
nho	不像你\t不信呢\t不行呢
nhy	保修期\t白血球\t不想去
nht	不逊色\t保险丝
nhl	本系统
nhd	半小时\t便携式\t八小时
nhe	剥削者\t八仙桌
nhw	表现为\t不希望\t不想玩
njr	不要看\t不愉快\t半月刊
njo	比翼鸟\t百余年\t不油腻
njy	编译器\t变压器\t不要钱
nje	不一致\t毕业证
njj	不一样\t不愿意\t不亚于
nvk	半自动
cnc	从不曾\t猜不猜
cnf	才不会\t从不会\t从背后
cny	擦边球\t凑不齐
cnh	才不信
cdj	曾参与
cgn	从根本
cfi	词汇量\t存活率\t才回来
cug	粗加工\t才几个
cik	催泪弹\t才来的
coi	从哪里
cpg	擦屁股\t裁判官
cei	猜中了
cjc	催一催\t猜一猜\t凑一凑\t撮一撮
cjg	曾有过\t测压管
cjh	催一下
kng	打不过\t大半个\t都不敢
knf	都不会\t东北虎\t都不好
kni	大不了\t打不了\t倒闭了
kno	都不能\t但不能\t大半年
knp	都不怕
kny	对不起\t都不缺
knd	倒不是\t大别山\t都不是
knt	打不死\t都不算
kkk	端到端\t打点滴
kkx	的地方\t冻豆腐
kkf	打电话\t丹顶鹤\t堵得慌
kkl	点点头
kkd	大多数\t到底是\t多的是
kke	东道主\t对得住\t等待着
kkh	的东西
kkv	大动作\t打底子
rxe	开发者
kxr	豆腐块
kxo	豆腐脑\t答复你
kxl	答复他
kxd	电风扇\t地方税\t地方上
kxw	大范围\t丢饭碗\t答复我
kgx	大锅饭\t得高分
kgt	打官司\t大公司
kfz	等会儿\t待会儿\t大伙儿
kfi	带回来\t打呼噜\t德黑兰
kuf	大家好\t大家伙
kuu	大结局\t对讲机\t大姐姐
kui	多久了
kul	电吉他\t单晶体\t第几天
kuv	大舅子
kri	抵抗力\t多亏了\t打开了
krl	大块头
kie	顶梁柱\t第六章
kmi	都没了\t达美乐
kok	等你到\t电脑端
kog	都能够
koe	电脑桌\t打内战
koh	对那些
kpn	的旁边
kyi	打起来\t动起来\t躲起来
kya	地球人\t地球日
kyd	大趋势\t的确是
kyh	大清洗\t道歉信\t地区性
kyj	大企业\t大气压
kyv	大清早\t兜圈子\t盗窃罪
ktn	第三遍\t第三步
ktx	第三方\t第三份
kdu	电视剧\t电视机
kte	第三种\t第三者
kld	大体上\t地头蛇\t但同时
klh	独特性\t打天下
kdf	的时候\t到时候\t董事会
kda	当事人\t多少人\t低收入
kdd	的身上
kdh	都是些\t代数学
