#星辰双拼专用简码（由 abbrev.txt 按星辰声母键重映射）
ujf	交易会\t金银花
uju	教育局
uji	记忆力
ujl	绝缘体
uje	加油站
ujw	局域网
ujh	加一下
uvx	检字法
uvf	架子花
uvs	架子车
uvm	就怎么
uvy	间奏曲
uvd	尖子生
uve	剧作者
uvh	节奏性
rcz	康采恩
rcy	开采权
rkf	肯定会
rkr	开裆裤
rkw	宽带网
rkh	可读性\t扛得下
rxg	咖啡馆
rxf	咖啡壶
rxr	卡夫卡
rxt	咖啡色
rgc	可观测
rgk	考古队
rgx	控股方
rgl	啃骨头
rgd	客观上
rgw	抗高温
rff	苦哈哈\t开户行
rfr	夸海口
rfy	开花期
rfj	跨行业
rsl	考察团
rsd	苦差事
run	空降兵
ruk	可见度
rup	科教片
rut	抗菌素
rud	会计师
rue	会计证
ruh	会计学
ruj	科技园
ruv	空架子
rrk	开阔地
rrg	开口跪
rrs	开快车
rrj	可卡因
rrv	空壳子
rin	可丽饼
rik	开绿灯\t考虑到
rip	刻录盘
rmc	开幕词
rmz	抠门儿
rou	可能就
rpl	跨平台
ryu	开区间
ryw	孔雀舞
ryj	烤全羊\t跨区域
rah	可溶性
rtl	喀斯特
rtw	科索沃
rln	空调病
rly	空调器
rlh	开拓型
rdk	空手道\t跨时代
rdw	枯水位
rei	控制论\t空置率
rem	扩展名
rep	抗震棚
rey	控制器
rwz	可望而
rwd	可谓是
rwj	矿物油
rhk	可信度
rhf	看笑话
rhm	凯旋门\t空心面
rho	苛性钠
rhy	狂想曲
rhl	口香糖
rhe	空心砖
rhj	科学院
rhv	开小灶
rjf	抗氧化
rju	可预见\t开眼界\t括约肌
rjm	可以吗\t宽银幕
rjw	可以为
rjj	看一眼
izk	罗安达
inn	冷冰冰
ink	了不得\t轮不到\t冷不丁
inz	老伴儿
inx	冷不防
inu	来不及\t零部件
inr	离不开
ini	累不累\t来不来\t冷不冷
ine	留不住\t腊八粥
inw	两不误
inh	老百姓
inj	利比亚
inv	老鼻子\t珞巴族
ics	冷藏车
icd	冷藏室
ikz	脸蛋儿
iks	落地窗
iku	来得及\t劳动局\t老大姐
ikp	榴弹炮\t立刀旁
ika	领导人
ikd	落地式
ixg	卢浮宫
ixd	量贩式
ixj	理发员
igs	类固醇
igo	老姑娘
igd	零关税
igh	劣根性
ifg	联合国
iff	乐呵呵\t乱哄哄
ifu	老花镜\t老虎机\t连环计
ifm	癞蛤蟆
ifp	来回票
ify	零花钱
ifa	老好人
ifl	拉后腿\t老糊涂
ife	兰花指
ifv	拉祜族
isn	里程碑
isl	流程图
iun	廉价版
iuk	垃圾袋\t落脚点
iux	龙卷风
iuf	两句话\t老江湖
iuu	辣椒酱\t亮晶晶
iui	理解力
iud	累计数
iue	拉锯战\t临界值
iuh	逻辑性\t垃圾箱
iuv	尥蹶子
iip	拉郎配
iil	聊聊天\t洛丽塔
iiw	联络网\t琉璃瓦
iih	理论性
iij	联络员
imk	灵敏度
imr	零门槛\t老面孔\t联名卡
imm	两茫茫\t路漫漫\t老妈妈
imp	两面派
imy	老母亲\t浪漫曲
iml	流媒体\t六面体
imd	两码事\t罗曼史
iou	利尿剂
ioo	老奶奶
iod	辽宁省
ioe	路怒症
ipl	拉皮条\t莲蓬头
ipd	蓝皮书
ipv	老婆子
iyn	老前辈
iyk	冷启动
iyh	录取线\t两栖型
ian	老人斑
iaj	类人猿
itn	卢森堡\t里斯本
itc	两三次
itk	螺丝刀\t两三点
iti	累死了
itl	两三天\t罗宋汤
itv	傈僳族
ilu	落汤鸡
ilr	楼梯口
ila	领头人
ilt	擂台赛
idg	临时工\t落水狗
idu	洛杉矶
idm	罗生门
idy	了上去
ida	老实人
ieo	两周年\t笼中鸟
iel	零状态
ied	两只手
iwn	露尾巴
iwx	劳务费
iwg	老顽固
iwf	陆委会
iwp	利物浦
iwl	老顽童
iwj	阑尾炎
ihn	练习簿\t流行病
ihc	龙须菜
ihk	联想到\t录像带
ihz	露馅儿
ihg	老戏骨\t理想国
ihm	龙须面
iha	联系人
ijk	老一代\t录音带\t利雅得
ijx	六月份\t晾衣服
iju	录音机
ivz	遛早儿
ive	零增长
mzh	马鞍形
mnf	没变化\t猫薄荷\t迈巴赫
mns	末班车\t面包车
mnm	忙不忙\t买不买
mnp	鸣不平\t慢半拍
mnd	莫不是
mnv	毛笔字\t抹脖子
mcz	没错儿
mci	摩擦力
mcp	买彩票
mkx	没地方\t磨豆腐
mks	马黛茶
mku	没多久\t满大街\t牡丹江
mky	买得起
mkd	磨刀石
mkj	卖队友\t棉大衣
mzk	猫耳朵
mxn	没法比\t免费版\t麻风病
mxz	没法儿
mxf	满负荷
mxo	麻烦你
mxy	密封圈
mxd	莫非是\t魔法师\t麻烦事
mxw	马蜂窝
mxv	没法子
mgn	蒙古包
mgg	蒙古国
mgt	玫瑰色
mgh	没关系
mgv	每个字\t命根子
mfk	曼哈顿
mft	米黄色
mfd	没话说
mfw	美猴王
mfv	毛孩子
msu	秒出警
mun	毛巾被
mul	没几天
muv	摩羯座\t慢节奏
mrk	没看到\t没看懂
min	马路边\t煤老板
mil	麻辣烫
mmz	没门儿
mmu	明明就
mmr	慢慢看\t棉毛裤
mmi	慢慢来
mmm	某某某\t喵喵喵\t买买买
mmy	默秒全
mma	某某人\t茫茫然
mmw	命名为
mmh	密码学
mou	摩尼教
mom	没那么
mpx	毛坯房
myn	没区别
myf	母亲河
myu	母亲节
myl	没前途
mye	煤气站
mal	名人堂
mad	默认是\t美容师
mtj	弥赛亚
mtv	摩梭族
mlc	满堂彩
mlo	没头脑
mle	描图纸
mdo	美少女
mdp	名士派
mdy	卖身契
mda	陌生人
mdd	魔术师
mes	没支持
meo	忙着呢
mea	魔怔人
mwn	马尾辫
mwo	魔物娘
mwh	冥王星
mhx	没想法
mhu	冒险家\t抹香鲸
mht	没心思
mhl	马戏团
mhw	没希望\t没下文\t毛血旺
mhh	没信心\t冒险性
mjz	贸易额
mjf	每一行
onn	暖宝宝\t蔫巴巴
onj	努比亚
ocn	内测版
ocl	内存条
okz	那点儿
okx	那地方\t那顿饭\t闹洞房
okm	年代末
oka	那当然
okl	拿大头
oke	耐得住\t拿得准\t尿毒症
okh	能动性
okv	闹肚子
ozg	女儿国
ozi	娘儿俩
ozm	娘儿们
oxu	暖风机
oxj	逆反应
ogk	尼古丁
ogu	凝固剂
ogd	农工商
oge	内阁制
ogj	男高音
ofk	霓虹灯
ofu	黏合剂
oft	牛磺酸
ofd	那回事
ofe	脑海中
ofh	耐寒性
osz	弄潮儿
oss	怒冲冲
ose	农场主
oud	那就是\t那件事\t哪件事
oux	农家肥
ouy	南极圈
out	那就算
oul	那几天
ouh	耐久性
ouv	拿架子
orr	你看看
ort	尼克松
orv	尿裤子
oig	那两个
oif	尼罗河
oio	捏了捏
oit	浓硫酸\t尼龙丝
oid	尼龙绳\t牛栏山
oiw	尼龙袜
oih	牛郎星
oij	哪里有
omz	纳闷儿
omf	那么好\t那么坏
omy	农牧区
omt	柠檬酸
omw	牛魔王
omh	匿名信
ook	奶奶的
ooe	农奴制
opu	年平均
opt	泥菩萨
ope	牛皮纸
oyp	暖气片
oag	牛肉干
oau	内燃机
otd	年三十
olz	年头儿
olm	你他妈\t你特么\t你他喵
oly	那天起
ole	女同志\t男同志
olv	泥腿子
odu	脑神经\t女生节
odr	那时快
odi	泥石流
odp	暖水瓶
ody	闹市区
oda	纳税人
ode	逆时针
odh	拿手戏
oez	那阵儿
oex	农转非
oeu	女主角\t男主角\t年终奖
oei	黏着力
oeo	那只能
oep	奶制品
oea	女主人\t男主人
own	内务部
owf	奈我何
owu	女玩家\t男玩家\t泥瓦匠
ojc	那一次\t哪一次
ojp	那一片\t耐用品
ojt	奶油色
ojv	那样子
ovg	内增高
zpr	欧佩克
zah	偶然性
pzj	平安夜
pnx	漂白粉
pnf	瀑布汗
pns	平板车
pnu	漂白剂
pny	赔不起
pne	拍巴掌
pnj	漂白液
pkk	拼多多\t胖嘟嘟\t胖墩墩
pkz	胖墩儿\t屁颠儿
pkx	破大防
pku	判断句
pkl	拍大腿
pkh	平底鞋
pzs	普洱茶
pxg	平方根
pxf	平方和
pxy	喷粉器
pxd	批发商
pgu	凭感觉
pge	旁观者
pgj	蒲公英
pfk	平衡点
pfz	派活儿
pfu	平滑肌
pfi	破坏力
pfm	平衡木
pfl	皮划艇
pfe	破坏者
psy	跑出去
pst	派出所
puk	啤酒肚
puz	皮筋儿
puy	瓶颈期
pud	判决书
prh	贫困线
piz	破烂儿
pig	疲劳感
piu	评论家
piy	评论区
piw	霹雳舞
pij	评论员
pmn	排名榜
pmz	帕米尔
pmx	怕麻烦\t平民愤
pmf	拍卖会
pms	跑马场
pmu	平面镜
pml	平面图
pmh	片面性
pmv	普米族
pps	碰碰车
ppu	批评家
ppy	乒乓球
pyf	爬墙虎
ptt	扑簌簌
pln	排头兵
plz	跑腿儿
plx	普通法
ply	平台期
plv	批条子
pdf	爬山虎
pds	喷水池
pdy	拼手气
peg	偏振光
pei	排中律
ped	批准书
peh	配置项
pwf	评委会
pwe	盘外招
pwh	抛物线
phe	贫血症
phw	排泄物
phv	胖小子
pjs	派用场
pji	偏移量
pje	聘用制
pvc	排座次
pvd	泼脏水
yzz	气昂昂
ynn	千八百
ynf	铅笔画
ynr	切不可
yno	七八年\t却不能
ynw	千百万\t岂不闻
ynh	情报学
ynj	前半夜
ykn	球蛋白
ykt	强的松
ykd	全都是
yxk	千分点
yxs	千分尺
yxt	氢氟酸
yxd	启发式
yxj	切分音
ygx	前滚翻
ygs	全过程
yga	亲骨肉
yfy	氰化氢
yfa	青海人
yfh	亲和性
ysk	青春痘
ysx	青春饭
yss	气冲冲
ysi	起床了
ysy	青春期
yun	奇迹般\t旗舰版
yuz	丘吉尔
yur	取景框
yuy	轻机枪
yrk	乾坤袋
yrx	前空翻
yru	顷刻间
yrl	羟考酮
yiu	轻量级
yim	千里马
yit	浅蓝色
yie	侵略者
ymk	亲密度
ymu	清明节
ymp	全面屏\t曲面屏\t群名片
ymt	青霉素
yme	敲门砖
yog	青年宫
yoy	取暖器
yoj	前女友\t前男友
ypm	全屏幕
ypy	旗袍裙
ypd	枪炮声
ype	强迫症
yph	起跑线\t欺骗性
yyg	亲切感
yyf	全球化
yyy	氢气球
yyh	全球性
yau	情人节
ytx	遣散费
yty	取色器
yta	气死人
ylc	墙头草
ylk	其他的
ylf	全天候
yla	其他人
yle	擎天柱
ydz	七十二
ydf	秦始皇
ydu	全世界
ydl	潜水艇
ydh	歧视性\t全身心
ydj	企事业
yef	庆祝会\t千纸鹤
ywk	强无敌
ywz	气味儿
ywu	群文件\t潜望镜\t去污剂
ywy	轻武器
ywh	趣味性\t权威性
yhm	亲兄妹
yhy	七弦琴
yjg	前一个\t奇异果
yje	前一阵
yvz	枪子儿
yvx	签字费
yvg	勤杂工
yvy	前奏曲
anf	日本海
aci	容错率
acp	软磁盘
aca	认错人
acw	人财物
ach	人才学
akr	热得快
ake	忍得住
azd	入耳式
axi	热风炉
agn	软骨病
agg	软广告
agf	人工湖
agi	人工林
ago	如果你
agd	如果说
agw	如果我
agh	如果想
afn	然后被
aff	热乎乎
afo	然后呢\t如何呢
aft	乳黄色
afe	润滑脂
afj	润滑油
ask	热传导
asi	热处理
aun	软件包
aug	热加工
aue	日记账
auh	日界线
ars	入口处
arh	软科学
arv	日喀则
ain	日历表
aiu	软链接
aip	容量瓶
aih	人类学\t弱类型
aij	燃料油
aiv	惹乱子
amf	热门货
amt	软木塞
amh	人民性
amv	人马座
aoh	忍耐性
aoj	热那亚
apf	热平衡
ape	热膨胀
ayk	热启动
aai	热容量
atu	乳酸菌
aty	软色情
ate	染色质
ath	热塑性
alx	人头费
adn	人事部
adx	惹是非
adu	人社局
add	如是说
adh	肉食性
adv	热水澡
aen	软指标
aec	肉中刺
aei	软着陆
aep	肉制品\t乳制品
aev	绕着走
awn	日文版
awz	人味儿
awf	人物画
awl	任务条
ahi	入学率
ahj	热效应
ajn	日语版
ajk	热运动
aju	软硬件
aji	软饮料
ajm	软硬木
ajd	日月山
aje	荣誉章
avn	人造板
avg	人造革
avu	让自己
avm	人造棉
avt	人造丝
ave	软组织
tnl	三胞胎
tcu	速测镜
tkg	苏丹国
tky	三大球
tkj	四大洋
tkv	死得早
tzk	塞尔达
txn	司法部
txk	随风倒
txg	司法官
txf	私房话
txm	三方面
txa	嫂夫人
txh	四方形
txj	索非亚
txv	随份子
tfn	三合板
tfk	松花蛋
tfz	撒欢儿
tfd	俗话说
tfh	三和弦
tsn	速成班
tsg	松弛感
tsa	四川人
tsd	四川省
tsv	四重奏
tux	三角枫
tuu	三角架
tul	三九天
tud	随机数
tue	三角洲
trg	萨克管
tix	斯拉夫
tiu	三棱镜
til	缩略图
tid	苏黎世
tie	塑料纸
tiw	送礼物
tmz	嗓门儿
tms	赛马场
tmu	萨满教
tmy	司马迁
tma	色目人
tml	酸梅汤\t四面体
tmd	丧门神
too	酸牛奶
toe	死难者
toh	孙女婿
toj	桑拿浴
tpf	碎片化
tyu	死全家
tan	四人帮
ttx	诉讼法
tto	碎碎念\t三四年
ttd	三四十
tte	诉讼状
tlo	桑塔纳
tll	扫堂腿
tlv	宋体字
tdi	速生林
tdm	送上门
tdt	三十岁\t四十岁
tdd	虽说是
tdv	私生子
tep	丝织品
tea	三种人
tew	四周围
teh	扫帚星
tej	馊主意
twz	苏维埃
twg	死顽固
twu	散文家
two	三五年\t四五年
twl	四五天\t三五天
twh	死亡线
thx	孙媳妇
thf	死循环
thy	随想曲
the	四仙桌
tjc	三叶草
tjx	三月份\t四月份\t塞牙缝
tjs	酥油茶
tju	三月街
tji	三元里
tjp	死硬派\t三丫坡
tjy	所有权
tjh	随意性
tjv	撒丫子
tvc	三字词\t四字词
tvk	所在地
tvx	丧葬费
tvu	三字经
tvp	随葬品
tvh	梭子蟹
tvv	碎嘴子
lnn	特别版
lnf	铜版画
lnp	天不怕
lck	体操队
lcz	挑刺儿
lcy	探测器
lkn	糖蛋白
lkc	头等舱
lkg	头等功
lkf	特大号\t通电话
lkr	通道口
lkm	土地庙
lkp	替代品
lkj	土地爷
lkv	腿肚子
lza	天鹅绒
lzt	托儿所
lxs	通风橱
lxr	通风口
lgk	体工队
lgr	同甘苦
lgt	通古斯
lgl	剃光头
lgv	铁工资
lfu	钛合金
lfl	拖后腿
lfd	同花顺
lfe	拓荒者
lfw	醍醐味
lfj	挺好用\t桃花运
lsy	逃出去
lsd	通常是
lsv	天秤座
luf	套近乎
lus	停机场
luu	统计局
lup	停机坪
lua	天津人
luw	天津卫
lrn	太恐怖\t太空步\t坦克兵
lrs	坦克车
lra	太空人
lrh	脱口秀
lig	天灵盖
liw	铁路网
lij	陀螺仪
lmk	他妈的
lmg	同盟国\t套马杆
lmu	他们家
lmt	托马斯\t汤姆森
lmj	同命运
lpu	太平间
lpm	太平门
lpl	拓扑图
lpe	谈判桌
lyg	淘气鬼
lyv	天琴座
lak	天然呆
lay	天然气
lty	铁索桥
ltw	铁丝网
llc	团体操
llz	头头儿
llf	通天河
llm	榻榻米
lll	天梯图
llv	唐太宗
ldx	提示符
ldf	挺适合
ldj	提示音
len	团支部
lec	土政策
lek	天知道
lef	同质化
leo	体制内
ley	统治权
lel	天主堂
lwn	调味包
lwc	同温层
lwx	贪污犯
lwg	天文馆
lwa	台湾人
lwe	逃亡者
lwj	同位语
lhx	退休费
lhf	同学会
lha	贴心人
lhv	天蝎座
ljf	头一回\t吐谷浑
ljr	体育课
ljy	调压器
ljl	听一听
ljd	同样是\t太原市
lvz	投资额
lvs	屠宰场
lva	投资人
lvv	甜滋滋
dcc	深层次
dcf	水彩画
dcs	双层床
dci	生存率\t生存力
dco	守财奴
dca	伤残人
dct	上厕所
dkn	上等兵
dkk	说到底\t手动挡\t说得对
dkz	顺道儿
dks	水电厂
dkr	圣诞卡
dke	闪电战\t数得着
dkw	输电网
dkh	煽动性
dzk	十二点
dzx	十二分
dxz	顺风耳
dxu	煞风景\t扇风机
dxi	说服力\t舒服了
dgk	闪光灯\t石敢当
dgh	烧高香
dgj	上个月
dgv	涮锅子
dfc	石花菜
dfg	山海关
dfp	售货棚
dfa	上海人
dfl	耍滑头
dfh	深呼吸
dfj	售货员
dsi	生产力
dsy	生成器
dun	双肩包\t神经病
duf	手机号
duu	审计局
dum	世纪末
duo	十几年
dua	收件人
dut	十几岁\t十九岁
dul	神经痛
due	石家庄\t十进制
dre	实况主
drh	深刻性
din	视力表
dic	数量词
dir	水陆空
dip	耍赖皮
diy	少林拳
dia	双立人
dij	势利眼
div	舍利子
dmw	双马尾\t说明文\t手慢无
doz	施耐庵
don	水泥板
dok	水泥钉
dox	少年犯
dos	水泥厂
doo	少奶奶
doa	少年人
dod	神农氏
doj	石脑油
dov	神奈子
dpx	商品房
dpf	商品化
dps	耍排场
dpi	商品粮
dpt	世乒赛
dpl	耍派头
dpj	售票员
dyr	啥情况
dya	申请人
daz	杀人案
daw	双人舞
daj	水溶液
dtn	生死簿
dtg	生死观
ddf	啥时候\t是时候\t说实话
dtu	十三经
dti	十三陵
dtd	上岁数
dth	生死线
dlk	耍态度
dlz	收摊儿
dlu	实体机\t石炭纪
dlp	水獭皮
dly	生态群
dla	身体乳
dlt	石炭酸
dld	手提式
dlv	收摊子
ddn	试试吧
ddk	摄氏度
ddz	省事儿
ddu	杀手锏
ddi	收视率
dde	顺时针
ddv	射手座
den	时装表
deg	数值怪\t双职工
der	双周刊
deo	上中农
det	生长素
dej	甚至于\t受制于\t水中月
dev	摄制组
dwn	数位板\t商务部\t试玩版
dwk	生物电
dwx	耍威风
dwp	数位屏
dwa	水污染
dwh	生物学
dwj	啥玩意\t朔望月
dhk	师兄弟\t少先队
dhs	食心虫
dhi	升学率\t睡醒了
dhp	上下铺
dhh	时效性\t首选项
dhv	使性子
djk	上一代\t十一点\t省油灯
dju	收音机\t商业街\t试衣间
djr	双月刊
dji	收益率\t失业率
djp	双眼皮
djw	是因为
djv	双鱼座\t试验组
dvn	识字班
dvz	石子儿
dvf	数字化
dvu	十字架
dvi	上座率
dvm	首字母
dvl	狮子头
dve	失踪者
dvw	狮子舞
dvh	双子星
dvv	双子座
ezw	障碍物
enx	枕边风
enl	这半天
ecn	注册表
ecu	注册机
ecm	注册码
eca	仲裁人
ech	政策学
ecj	中草药
ekc	致悼词
ekz	这点儿
eks	折叠床
ekt	招待所
ekl	掷弹筒
eke	终点站
ekw	主单位
ekh	针对性
ekj	撞大运\t折叠椅\t猪队友
egc	中关村
egg	直勾勾
egs	中国城
egm	中国梦
egl	中国通
egj	这个月\t植根于
efg	指挥官
efl	装糊涂
efj	指挥员
esa	主持人
eun	装甲兵
euc	助记词
euu	张家界
eur	张家口
euy	重机枪
eua	中间人\t召集人
euj	转基因
euv	照镜子
erk	中科大
erg	真空管
ery	制空权
eik	之类的\t着力点\t直流电
eis	重力场
eii	直愣愣
eip	战利品
eiy	专利权
eia	主理人
eie	占领者
eiv	正离子
emz	照面儿
emx	找麻烦
eon	纸尿布
eok	种牛痘
eos	指南车
eow	樟脑丸
eoh	智能性
epx	诈骗犯
epg	装配工
eps	制片厂
epu	照排机
epi	侦破率
eyn	周期表
eyk	正确的
eys	沼气池
eym	找窍门
eyo	中青年
eyt	证券所
eaw	主人翁
edf	这时候
eto	侄孙女
etv	装孙子
elc	主题词
elk	主通道
elp	站台票
eld	招讨使
ele	状态值
edn	正式版
edu	指数级
edi	中山狼
eec	竹枝词
eeg	珍珠港
ees	主战场
eei	住宅楼
eeo	周志农
eep	战争片
eee	执政者
eew	针织物
eej	中州韵\t指战员
ewx	占位符
ewy	重武器
ewl	植物体
ewd	中位数
ewh	植物学
ewj	植物油
ewv	转弯子
ehc	中心词\t中性词
ehx	正相反\t侄媳妇
ehp	滞销品
ehe	照相纸
ejn	这一步\t职业病\t志愿兵
evg	驻在国
evs	制造厂
eva	制作人
evl	竹字头
evd	制造商
evh	折子戏\t铸造学
evj	制造业
wzo	我爱你
wzd	王安石
wca	午餐肉
wks	温度场
wku	温度计
wkp	无党派
wka	外地人
wkd	武当山\t无敌手\t卫道士
wkv	微电子
wxn	无纺布
wxi	我服了
wgk	乌干达
wgg	外骨骼
wgu	乌骨鸡\t瓦岗军
wgp	顽固派
wgl	文工团
wge	伟光正
wfg	违和感\t无花果
wff	外行话
wfu	文化局
wfe	维护者\t玩花招
wfj	玩花样
wsg	文抄公
wss	乌沉沉
wsh	未承想\t无衬线\t微程序
wsj	文昌鱼
wux	微积分
wug	微架构
wum	文件名
wuj	万金油
wrr	我看看
wre	胃扩张
wic	乌拉草
wiu	物理机
wia	外来人
wid	无论是\t五六十
wie	瓦楞纸
wmg	外蒙古
wmf	污名化
wmi	误码率
wmh	文明戏
wmj	万美元\t外卖员
won	万能表
wof	无奈何
wos	挖泥船
woj	万能药
wpc	外胚层
wps	乌篷船
wyk	无穷大
wyr	武器库
wyl	完全体\t为前提
wyh	文曲星
was	无人车
war	万人坑
way	无人区\t污染区
wae	围绕着\t委任状
wtx	未遂犯
wtv	外孙子
wlz	无头案
wll	雾腾腾
wdu	卫生间\t威士忌
wdy	卫生球
wdw	微生物
wen	物质波
wei	微指令
wey	伪政权
wet	味之素
wed	未知数
wwk	慰问电
wwz	维吾尔
wwf	无外乎
wws	未完成
wwy	娃娃亲
wwa	弯弯绕\t未亡人
wwt	外围赛
wwl	窝窝头
wwh	慰问信
wwj	娃娃鱼
whg	微血管
whf	我喜欢\t微循环
whi	唯心论
whd	文学史
whj	无响应\t未响应\t晚香玉
wjr	外语课
wjm	无烟煤
wjy	稳压器
wjl	为一体
wvl	武则天
hzi	兴安岭\t性恶论
hnn	凶巴巴\t香饽饽\t象拔蚌
hnc	小白菜
hnz	小辫儿
hng	信不过
hnm	小保姆
hno	下半年
hnp	西部片
hnt	选拔赛\t小瘪三
hnw	小霸王
hnj	西班牙\t下半夜
hce	幸存者
hks	想当初
hzz	秀恩爱
hzn	馅儿饼
hzm	小恶魔\t小而美
hzy	小而全
hzv	小儿子
hxn	矽肺病
hxg	洗发膏
hxa	西方人
hgp	小钢炮
hgy	修改器
hga	西瓜瓤\t香港人
hgl	细高挑
hfc	杏花村
hfg	雪花膏
hfs	小合唱
hfu	寻呼机
hfp	消耗品
hfa	猩红热
hfl	小胡桃
hfw	小黑屋
hsk	现成的
hss	兴冲冲
hsp	宣传片
hux	选举法
hug	象脚鼓
huo	小江南
hua	新疆人
hut	性激素
hud	橡胶树
hue	细菌战
huw	溴甲烷
huv	小舅子
hrz	小可爱
hrk	想开点
hrx	许可法
hrf	相抗衡\t下课后\t小括号
hrs	小客车
hru	锡克教
hro	辛苦你
hre	许可证
hrw	幸亏我
hrh	寻开心
hin	行了吧\t小笼包\t训练班
hix	洗理费
hig	修理工
his	修理厂
hiu	行李架
hir	小两口
him	心里面
hip	系列片
hiy	学龄前
hit	相类似
hil	巡逻艇
hid	血泪史
hiw	希腊文
hiv	新路子
hmm	小妹妹\t笑眯眯
hmo	洗面奶
hme	心目中\t荨麻疹
hmw	下马威
hmj	小蛮腰
hof	小女孩\t小男孩
hou	虚拟机
hoj	小年夜
hov	新娘子
hpc	橡皮擦
hpf	小屁孩
hpi	下坡路
hpp	香喷喷
hpe	新篇章
hpj	小朋友
hyn	学前班
hyc	需求侧
hyx	享清福
hyg	小气鬼
hys	想清楚
hyr	向前看
hya	星期日
hyt	星期三\t星期四
hyw	星期五
hyh	新气象
hyj	星期一
hyv	小圈子
haz	小人儿
har	向日葵
hay	仙人球
haa	瞎嚷嚷
hae	仙人掌
hah	虚荣心
htn	相思病
htk	相似度
hdf	小时候\t学生会
htu	新四军
hto	相思鸟
hlf	系统化
hla	心头肉
hld	兴头上
hlw	信天翁
hlh	先天性
hdz	凶杀案\t销售额
hdk	小数点
hdx	刑事犯
hdu	学术界\t洗手间
hdi	消失了
hdp	显示屏
hdd	形式上
hde	行驶证
hdh	学术性
hec	行政村
heg	新中国
her	行政科
heo	下中农
hee	旋转轴
hwn	纤维板
hwg	新闻稿
hwp	新闻片
hwt	纤维素
hwl	小问题
hhk	小心点
hhf	信息化
hhu	学习机
hhr	想想看
hhd	小学生
hhe	想象中\t先行者
hhw	血腥味
hhj	小心眼
hjn	下一步
hjc	下一次\t薰衣草
hjk	下一代
hjz	幸运儿
hjx	洗衣粉\t洗衣服
hjf	西洋画
hjs	小阳春
hjr	信用卡
hjp	学院派
hjy	吸烟区
hjl	西雅图\t下雨天\t吓一跳
hjh	想一想
hvx	学杂费
hvp	殉葬品
hve	小组长
hvw	小作文
jzm	阴暗面
jnc	也不错
jng	摇笔杆
jns	言必称
jnr	哑巴亏
jno	也不能\t又不能
jnd	也不是\t又不是\t用不上\t一把手
jnt	也不算
jne	用不着
jnj	要不要
jcx	隐藏分
jcf	油菜花
jcv	油菜籽
jzy	幼儿期
jzt	一二三
jzl	雅尔塔
jzj	幼儿园
jxc	有分寸
jxz	有范儿
jxs	一风吹
jxp	月份牌
jxt	玉佛寺
jgs	油罐车
jgy	雨刮器
jfz	一会儿
jfs	萤火虫
jfu	氧化剂
jfy	优惠券
jfl	氧化铁\t雨花台
jfw	氧化物
jfh	银河系
jfj	宇航员\t颐和园
jss	阴沉沉
jsr	一场空
jsi	已处理\t预处理
jso	一刹那
juk	雅加达
juf	一句话
jua	一家人
jut	研究所
juh	郁金香
jrk	一看到
jrf	圆括号
jro	有可能\t也可能
jrd	一开始
jrj	也可以
jiz	一溜儿
jip	玉兰片
jia	一路人
jmp	一面坡
joa	云南人
jpe	压迫者
jpv	右撇子
jyc	语气词
jyp	氧气瓶
jyt	邀请赛
jye	有气质
jax	羽绒服
jam	有人吗\t有人么\t有人没
jap	易燃品
jad	羊绒衫
jtn	压缩包
jdu	有时间\t一瞬间\t右上角
jto	预算内
jtt	一丝丝\t阴森森
jlf	研讨会
jls	一头沉
jlr	一堂课
jll	一天天\t一条条
jlw	因特网
jlj	依托于
jlv	一团糟
jdg	一首歌
jdh	艺术性
jec	预制菜
jeg	一整个
jep	异装癖
jwc	疑问词
jwz	有味儿
jws	已完成\t医务处
jwp	洋务派
jwt	医务所
jwh	有危险\t意外险\t于无形
jwv	颜文字
jhz	一下儿
jhp	印象派
jjc	有一次
jjk	有一点
jjf	音乐会
jja	有缘人\t悠悠然
jjd	饮用水
jje	有一种
jjh	优越性
jvn	原子笔
jvk	原子弹
jvz	扬子鳄
jvf	夜总会
jvs	营造尺
jvu	扬子江
jvl	原子团
jvd	原则上
jve	有组织
jvh	原则性
jvj	源自于\t咬字眼
vze	则安之
vnp	滋补品
vnl	走不通
vnd	自白书
vkc	最低层
vkk	自动挡\t最低点
vkz	早点儿
vku	自动机
vkm	自动门
vkl	坐地铁\t早稻田
vkd	子弟书
vke	坐得正
vzt	再而三
vxx	自发粉
vxd	自费生
vxe	总方针
vxw	砸饭碗
vxh	自发性
vxv	诹访子
vgg	做广告
vgf	总工会
vgo	自耕农
vgt	总公司
vgj	自感应
vfz	杂活儿
vfx	总后方
vfp	杂货铺
vfy	组合拳
vft	枣红色
vfj	综合语
vuf	紫荆花
vus	紫禁城
vum	字节码
vuy	自决权
vua	自己人
vut	总决赛
vud	紫金山
vri	自控力
vro	怎可能
vrd	最开始
vix	总理府
vig	再来个
viu	资料夹\t自流井
vip	资料片
vpf	自平衡
vpu	杂牌军
vyk	足球队
vys	足球场
vyu	作曲家
vyy	走亲戚
vyl	做圈套
vac	自然村
vak	自然段
vau	自然界
var	总人口
vai	自然龙
vay	做人情
vaa	责任人
val	责任田
vad	自然数\t责任书
vaj	最容易
vtx	走私犯
vtu	增塑剂
vti	总司令
vto	曾孙女
vlx	在逃犯
vls	钻探船
vlu	钻探机
vle	总统制
vlv	总投资
vdf	早上好
vds	再生产
